Address,Source Code,Positive,,,,
0x251848c3fc50274f5fda449919f083dc937b48b2,Yes,TRUE,,,Number,Percentage
0x2dd2a6b0cbd2586d3a6b975b8c35cebe7eb126e8,No,,,True Positives,9,100
0x7bc51b19abe2cfb15d58f845dad027feab01bfa0,Yes,TRUE,,False Positives,0,0
0x858c9eaf3ace37d2bedb4a1eb6b8805ffe801bba,Yes,TRUE,,,,
0xa0174f796d3b901adaa16cfbb589330462be0329,Yes,TRUE,,Total,10,
0xa395480a4a90c7066c8ddb5db83e2718e750641c,Yes,TRUE,,Total with source,9,
0xaa12936a79848938770bdbc5da0d49fe986678cc,Yes,TRUE,,,,
0xd022969da8a1ace11e2974b3e7ee476c3f9f99c6,Yes,TRUE,,,,
0xe63760e74ffd44ce7abdb7ca2e7fa01b357df460,Yes,TRUE,,,,
0xf4ac238121585456dee1096fed287f4d8906d519,Yes,TRUE,,,,
